"country","city","airport","iso"
"Democratic Republic of the Congo","Goma","Goma International Airport","GOM"
"Democratic Republic of the Congo","Kinshasa","N'djili Airport","FIH"
"Democratic Republic of the Congo","Kisangani","Bangoka International Airport","FKI"
"Democratic Republic of the Congo","Lubumbashi","Lubumbashi International Airport","FBM"
"Congo","Brazzaville","Maya-Maya Airport","BZV"
"Congo","Pointe-Noire","Pointe Noire Airport","PNR"
"Equatorial Guinea","Malabo","Malabo International Airport","SSG"
"Gabon","Franceville","M'Vengue El Hadj Omar Bongo Ondimba International Airport","MVB"
"Gabon","Libreville","Leon M'ba International Airport","LBV"
"Gabon","Port-Gentil","Port-Gentil International Airport","POG"
"Burundi","Bujumbura","Bujumbura International Airport","BJM"
"Comoros","Moroni","Prince Said Ibrahim International Airport","HAH"
"Kenya","Eldoret","Eldoret International Airport","EDL"
"Kenya","Mombasa","Moi International Airport","MBA"
"Kenya","Kisumu","Kisumu International Airport","KIS"
"Kenya","Nairobi","Jomo Kenyatta International Airport","NBO"
"Mauritius","Plaine Magnien","Sir Seewoosagur Ramgoolam International Airport","MRU"
"Rwanda","Kigali","Kigali International Airport","KGL"
"Seychelles","Victoria","Seychelles International Airport","SEZ"
"South Sudan","Juba","Juba International Airport","JUB"
"United Republic of Tanzania","Dar es Salaam","Julius Nyerere International Airport","DAR"
"United Republic of Tanzania","Hai District","Kilimanjaro International Airport","JRO"
"United Republic of Tanzania","Unguja, Zanzibar","Abeid Amani Karume International Airport","ZNZ"
"Uganda","Entebbe","Entebbe International Airport","EBB"
"Djibouti","Djibouti","Djibouti-Ambouli International Airport","JIB"
"Eritrea","Asmara","Asmara International Airport","ASM"
"Ethiopia","Addis Ababa","Addis Ababa Bole International Airport","ADD"
"Ethiopia","Dire Dawa","Aba Tenna Dejazmach Yilma International Airport","DIR"
"Somalia","Boosaaso","Bender Qassim International Airport","BSA"
"Somalia","Gaalkacyo","Abdullahi Yusuf International Airport","GBY"
"Somalia","Garowe","Garowe International Airport","GGR"
"Somalia","Hargeisa","Hargeisa International Airport","HGA"
"Somalia","Kismaayo","Kismayo Airport","KMU"
"Somalia","Mogadishu","Aden Adde International Airport","MGQ"
"Algeria","Adrar","Touat-Cheikh Sidi Mohamed Belkebir Airport","AZR"
"Algeria","Algiers","Houari Boumedienne Airport","ALG"
"Algeria","Annaba","Rabah Bitat Airport","AAE"
"Algeria","Batna","Batna Airport","BLJ"
"Algeria","Bejaia","Soummam Airport","BJA"
"Algeria","Oumache","Biskra Airport","BSK"
"Algeria","Chlef","Chlef International Airport","CFK"
"Algeria","Constantine","Mohamed Boudiaf Airport","CZL"
"Algeria","Hassi Messaoud","Oued Irara Airport","HME"
"Algeria","Jijel","Jijel Ferhat Abbas Airport","GJL"
"Algeria","Oran","Oran Es Senia Airport","ORN"
"Algeria","Tamanrasset","Tamanrasset Airport","TMR"
"Algeria","Tlimcen","Zenata Airport","TLM"
"Chad","Ndjamena","N'Djamena International Airport","NDJ"
"Egypt","Alexandria","Borg El Arab Airport","HBE"
"Egypt","Alexandria","Alexandria International Airport","ALY"
"Egypt","Asyut","Assiut Airport","ATZ"
"Egypt","Aswan","Aswan International Airport","ASW"
"Egypt","Cairo","Cairo International Airport","CAI"
"Egypt","El Arish","El Arish International Airport","AAC"
"Egypt","El Dabaa","Al Alamain International Airport","DBB"
"Egypt","Hurghada","Hurghada International Airport","HRG"
"Egypt","Luxor","Luxor International Airport","LXR"
"Egypt","Marsa Alam","Marsa Alam International Airport","RMF"
"Egypt","Matruh","Mersa Matruh Airport","MUH"
"Egypt","Saint Catherine","St. Catherine International Airport","SKV"
"Egypt","Sharm el-Sheikh","Sharm el-Sheikh International Airport","SSH"
"Egypt","Sohag","Sohag International Airport","HMB"
"Egypt","Taba","Taba International Airport","TCP"
"Libya","Banghazi","Benina International Airport","BEN"
"Libya","Sabha","Sebha Airport","SEB"
"Libya","Tripoli","Tripoli International Airport","TIP"
"Libya","Tajoura","Mitiga International Airport","MJI"
"Morocco","Agadir","Al Massira Airport","AGA"
"Morocco","Casablanca","Mohammed V International Airport","CMN"
"Morocco","Marrakesh","Marrakech-Menara Airport","RAK"
"Morocco","Nador","Nador International Airport","NDR"
"Morocco","Oujda","Angads Airport","OUD"
"Morocco","Tangier","Tangier-Boukhalef Airport","TNG"
"Morocco","Tetouan","Sania Ramel Airport","TTU"
"Morocco","Ad Dakhla","Dakhla Airport","VIL"
"Sudan","Khartoum","Khartoum International Airport","KRT"
"Sudan","Port Sudan","Port Sudan New International Airport","PZU"
"Tunisia","Djerba","Zarzis Airport","DJE"
"Tunisia","Enfidha","Enfidha-Hammamet International Airport","NBE"
"Tunisia","Monasir","Habib Bourguiba International Airport","MIR"
"Tunisia","Sfax","Thyna International Airport","SFA"
"Tunisia","Tabarka","7 Novembre International Airport","TBJ"
"Tunisia","Tozeur","Nefta International Airport","TOE"
"Tunisia","Tunis","Carthage International Airport","TUN"
"Angola","Luanda","Quatro de Fevereiro Airport","LAD"
"Angola","Lubango","Lubango Airport","SSD"
"Botswana","Gaborone","Sir Seretse Khama International Airport","GBE"
"Botswana","Maun","Maun Airport","MUB"
"Botswana","Francistown","Francistown Airport","FRW"
"Botswana","Kasane","Kasane Airport","BBK"
"Lesotho","Maseru","Moshoeshoe I International Airport","MSU"
"Madagascar","Antananarivo","Ivato International Airport","TNR"
"Madagascar","Antsiranana","Arrachart Airport","DIE"
"Madagascar","Mahajanga","Amborovy Airport","MJN"
"Madagascar","Nosy Be","Fascene Airport","NOS"
"Madagascar","Toamasina","Toamasina Airport","TMM"
"Madagascar","Toliara","Toliara Airport","TLE"
"Malawi","Blantyre","Chileka International Airport","BLZ"
"Malawi","Lilongwe","Lilongwe International Airport","LLW"
"Mayotte","Dzaoudzi","Dzaoudzi Pamandzi International Airport","DZA"
"Mozambique","Maputo","Maputo International Airport","MPM"
"Mozambique","Beira","Beira Airport","BEW"
"Mozambique","Inhambane","Inhambane Airport","INH"
"Mozambique","Nampula","Nampula Airport","APL"
"Mozambique","Pemba","Pemba Airport","POL"
"Mozambique","Tete","Chingozi Airport","TET"
"Mozambique","Vilankulo","Vilankulo Airport","VNX"
"Namibia","Windhoek","Windhoek Hosea Kutako International Airport","WDH"
"Namibia","Walvis Bay","Walvis Bay Airport","WVB"
